User name,AWS access key,Event time,Event source,Event name,AWS region,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:39Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:747398377677:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-747398377677-1a20be82""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:747398377677:key/a570fb37-ad18-4eba-92d8-d4d398a38795""}]",fa1ae454-de72-430e-9451-913180e15d48,3d86fb6f-a18f-4483-a9c7-cac467d3c94f,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:39Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:747398377677:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",6e781fb5-10a8-4313-87c0-9039b3135e7a,4edb4550-166e-4d12-a97d-fe936cbb0538,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:39Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",20197c27-16d0-4ac1-9471-4772926e8127,52126bd0-2f9c-4664-b93d-be7d785045ff,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:39Z,kms.amazonaws.com,CreateKey,us-east-1,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.109-57.183.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy",,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""a570fb37-ad18-4eba-92d8-d4d398a38795""}]",c782820c-e54f-41e0-b7fb-8631555513d4,8ce6ed36-b1c7-4770-b54b-e6ab159c814a,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:39Z,kms.amazonaws.com,CreateAlias,us-east-1,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.109-57.183.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy",,[],356c2a6d-3bfe-4a71-a694-f44ccd17fd4c,9e4439ea-70e9-463d-bad1-f4fc73387785,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:39Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:747398377677:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",de4e7db9-e9fe-4a63-951b-6ad936e62e1f,c280b35a-5128-468e-8b3a-846d60c717bb,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:38Z,s3.amazonaws.com,CreateBucket,us-east-1,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.109-57.183.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-747398377677-1a20be82""}]",XY8PQ5GSD1QT2YGD,9140c7e2-23b0-45a4-bf88-45a4e6228dfb,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:38Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.109-57.183.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-747398377677-1a20be82""}]",XY8KC0HKAY51WPMY,ccccd72c-f2cd-4233-ba1f-f2c10102552e,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDGTWZIIHGZ,2021-05-29T16:33:38Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.991 Linux/5.4.109-57.183.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation cfg/retry-mode/legacy]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-747398377677-1a20be82""}]",XY8NTPFZ1YE3M2AS,fa1adbb5-806e-45cc-83f3-08dae5920bc3,FALSE,AwsApiCall,7.47398E+11,Management
CloudTrail,ASIA24BDKGDG6SBADONW,2021-05-29T16:31:13Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,,[],0ce22347-cd41-422f-b6bd-ced8b2fd750f,e50fe28e-dad6-4b11-95b9-7b9088219cb5,FALSE,AwsApiCall,7.47398E+11,Management
